,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
267587,2024-01-21 11:00:00 EST,101.54,103.04,29,23,64,-19.8,-14.3,-24,24100,2,1407,-14.3,-15.5,9.72E-15,1.49E-02,2024-01-22 12:00:00 EST
267647,2024-01-21 12:00:00 EST,101.52,103.02,29,21,62,-19.2,-13.4,-22,24100,2,1650,-13.4,-14.4,9.33E-15,1.53E-02,4.34E-16
267707,2024-01-21 13:00:00 EST,101.51,103.01,29,17,60,-18.6,-12.3,-20,24100,0,1694,-12.3,-13.4,7.67E-15,1.73E-02,9.88E-02
267767,2024-01-21 14:00:00 EST,101.52,103.02,25,19,60,-18.1,-11.8,-20,24100,0,1547,-11.7,-12.3,5.23E-15,2.23E-02,
267827,2024-01-21 15:00:00 EST,101.55,103.05,25,21,57,-18.1,-11.3,-20,24100,1,1204,-11.2,-11.8,1.23E-15,6.48E-02,
267887,2024-01-21 16:00:00 EST,101.58,103.08,28,19,54,-18,-10.5,-18,24100,4,672,-10.5,-11.3,6.70E-16,8.56E-02,
267947,2024-01-21 17:00:00 EST,101.61,103.11,26,10,57,-18.3,-11.4,-17,24100,5,127,-10.4,-11.4,2.11E-15,3.89E-02,
268007,2024-01-21 18:00:00 EST,101.62,103.12,23,9,59,-18.4,-11.9,-17,24100,6,0,-11.3,-12.6,2.28E-15,3.59E-02,
268067,2024-01-21 19:00:00 EST,101.63,103.13,17,9,62,-18.3,-12.5,-18,24100,5,0,-11.5,-12.5,2.16E-15,3.85E-02,
268127,2024-01-21 20:00:00 EST,101.63,103.14,17,9,65,-18.2,-12.8,-18,24100,3,0,-12.1,-13.2,5.67E-15,2.30E-02,
268187,2024-01-21 21:00:00 EST,101.55,103.05,19,11,64,-18.5,-13.1,-19,24100,3,0,-12,-13.1,5.61E-15,2.09E-02,
268247,2024-01-21 22:00:00 EST,101.56,103.06,21,10,67,-18.4,-13.5,-19,24100,5,0,-13.2,-13.6,6.70E-15,1.97E-02,
268307,2024-01-21 23:00:00 EST,101.55,103.05,19,10,68,-17.4,-12.6,-18,24100,2,0,-12.6,-13.4,6.10E-15,2.01E-02,
268367,2024-01-22 00:00:00 EST,101.54,103.03,18,8,69,-16.7,-12.1,-17,24100,1,0,-11.8,-12.6,7.78E-15,1.76E-02,
268427,2024-01-22 01:00:00 EST,101.51,103,18,11,72,-16.3,-12.1,-18,24100,3,0,-11.9,-13.2,1.42E-14,1.20E-02,
268487,2024-01-22 02:00:00 EST,101.47,102.96,19,16,72,-15,-11,-18,24100,7,0,-10.9,-12.1,1.28E-14,1.27E-02,
268547,2024-01-22 03:00:00 EST,101.45,102.94,19,13,76,-14.1,-10.6,-17,24100,7,0,-10.6,-11.2,9.71E-15,2.10E-02,
268607,2024-01-22 04:00:00 EST,101.39,102.87,19,15,76,-12.7,-9.2,-16,24100,8,0,-9.2,-10.6,8.66E-16,6.57E-02,
268667,2024-01-22 05:00:00 EST,101.39,102.87,21,11,76,-11.8,-8.2,-13,24100,8,0,-8.2,-9.2,1.23E-15,5.24E-02,
268727,2024-01-22 06:00:00 EST,101.34,102.82,21,18,72,-11.1,-6.9,-14,24100,7,0,-6.9,-8.2,4.27E-16,1.18E-01,
268787,2024-01-22 07:00:00 EST,101.33,102.81,22,18,66,-12.3,-7,-14,24100,5,0,-6.7,-7.1,3.72E-16,1.08E-01,
268847,2024-01-22 08:00:00 EST,101.3,102.78,21,21,58,-14.1,-7.1,-14,24100,4,25,-7,-7.3,4.37E-16,1.05E-01,
268907,2024-01-22 09:00:00 EST,101.3,102.78,22,21,52,-14.4,-6,-13,24100,3,417,-5.9,-7,1.59E-15,4.79E-02,
268967,2024-01-22 10:00:00 EST,101.29,102.77,23,24,54,-12.2,-4.2,-11,24100,5,1043,-4,-5.9,2.14E-15,4.06E-02,
