,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
125507,2023-10-14 20:00:00 EDT,99.42,100.81,34,16,73,5.3,9.8,ERROR,24100,1,0,10.1,8.3,2.79E-15,3.18E-02,2023-10-15 21:00:00 EDT
125567,2023-10-14 21:00:00 EDT,99.42,100.81,33,15,75,5.1,9.3,ERROR,24100,1,0,10.1,9.3,2.44E-15,3.46E-02,1.48E-15
125627,2023-10-14 22:00:00 EDT,99.39,100.78,32,19,80,5.6,8.8,ERROR,24100,1,0,9.6,8.7,1.52E-15,4.62E-02,5.34E-02
125687,2023-10-14 23:00:00 EDT,99.35,100.74,32,21,84,5.7,8.2,ERROR,24100,2,0,8.7,8.1,1.49E-15,4.63E-02,
125747,2023-10-15 00:00:00 EDT,99.28,100.67,31,20,81,5,7.9,ERROR,24100,3,0,8.2,7.7,2.03E-15,3.83E-02,
125807,2023-10-15 01:00:00 EDT,99.23,100.62,31,16,86,4.7,6.8,ERROR,24100,2,0,7.9,6.8,2.59E-15,3.31E-02,
125867,2023-10-15 02:00:00 EDT,99.21,100.6,30,10,89,4.2,5.9,ERROR,24100,1,0,6.8,5.4,2.72E-15,3.22E-02,
125927,2023-10-15 03:00:00 EDT,99.15,100.54,30,16,95,5.3,6,ERROR,24100,1,0,6.1,4.9,1.95E-15,4.27E-02,
125987,2023-10-15 04:00:00 EDT,99.11,100.5,28,9,99,4.6,4.7,ERROR,24100,3,0,6,4.3,1.80E-15,4.26E-02,
126047,2023-10-15 05:00:00 EDT,99.06,100.44,27,14,95,5.3,6,ERROR,24100,4,0,6.8,4.7,2.90E-15,3.36E-02,
126107,2023-10-15 06:00:00 EDT,99.01,100.4,27,14,96,5,5.6,ERROR,24100,4,0,6.4,5.6,8.86E-16,6.80E-02,
126167,2023-10-15 07:00:00 EDT,98.99,100.38,29,17,96,6.7,7.3,ERROR,24100,8,0,7.3,5.4,4.41E-16,1.10E-01,
126227,2023-10-15 08:00:00 EDT,98.97,100.36,30,19,94,6.9,7.8,ERROR,24100,7,28,7.8,7.3,2.45E-16,1.76E-01,
126287,2023-10-15 09:00:00 EDT,98.94,100.33,31,18,91,7.3,8.6,ERROR,24100,8,207,8.6,7.7,6.88E-16,7.67E-02,
126347,2023-10-15 10:00:00 EDT,98.92,100.3,33,24,79,5.6,9.1,ERROR,24100,7,606,9.1,8.6,2.40E-15,3.66E-02,
126407,2023-10-15 11:00:00 EDT,98.89,100.27,32,19,74,5.2,9.6,ERROR,24100,8,531,10.1,9.1,3.12E-15,3.17E-02,
126467,2023-10-15 12:00:00 EDT,98.87,100.25,31,23,72,5.8,10.5,ERROR,24100,8,774,10.5,9.6,2.08E-15,4.00E-02,
126527,2023-10-15 13:00:00 EDT,98.83,100.22,33,22,82,7.2,10.1,ERROR,24100,8,1098,11.9,10.1,1.22E-15,5.35E-02,
126587,2023-10-15 14:00:00 EDT,98.82,100.21,33,19,87,8.1,10.2,ERROR,16100,8,670,12,10,9.45E-16,6.31E-02,
126647,2023-10-15 15:00:00 EDT,98.82,100.21,29,10,90,8.2,9.8,ERROR,24100,8,310,10.3,9.7,7.11E-16,8.86E-02,
126707,2023-10-15 16:00:00 EDT,98.84,100.23,32,11,79,7.5,11.1,ERROR,24100,8,285,11.1,10,1.80E-16,1.77E-01,
126767,2023-10-15 17:00:00 EDT,98.86,100.25,30,11,96,9.3,9.9,ERROR,24100,8,190,11.3,9.8,1.45E-16,1.88E-01,
126827,2023-10-15 18:00:00 EDT,98.89,100.28,31,14,87,8.6,10.6,ERROR,24100,8,128,10.9,9.8,1.20E-16,2.13E-01,
126887,2023-10-15 19:00:00 EDT,98.94,100.33,30,12,99,9.7,9.8,ERROR,8100,7,0,10.9,9.8,2.70E-16,1.61E-01,
