,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
127307,2023-10-16 02:00:00 EDT,99.04,100.42,32,21,94,9.4,10.4,ERROR,24100,7,0,10.6,10.3,5.62E-16,8.60E-02,4.01E-15,2.61E-02
127367,2023-10-16 03:00:00 EDT,99.07,100.45,31,14,95,9.6,10.4,ERROR,24100,7,0,10.7,10.3,8.30E-16,7.19E-02,2.64E-15,3.50E-02
127427,2023-10-16 04:00:00 EDT,99.07,100.45,31,11,95,9.5,10.3,ERROR,24100,7,0,10.5,10.2,1.70E-15,4.47E-02,4.73E-16,9.83E-02
127487,2023-10-16 05:00:00 EDT,99.08,100.46,32,12,95,9.4,10.2,ERROR,24100,7,0,10.5,10.2,2.33E-15,3.89E-02,2.52E-16,1.48E-01
127547,2023-10-16 06:00:00 EDT,99.11,100.49,31,12,97,9.2,9.7,ERROR,24100,7,0,10.2,9.2,1.42E-15,4.97E-02,6.57E-16,7.57E-02
127607,2023-10-16 07:00:00 EDT,99.14,100.52,33,17,93,9.3,10.4,ERROR,24100,5,0,10.5,9.6,7.55E-16,8.42E-02,1.23E-15,5.37E-02
127667,2023-10-16 08:00:00 EDT,99.18,100.56,33,15,94,9.6,10.5,ERROR,24100,7,37,10.8,9.9,1.88E-15,5.91E-02,2.51E-15,3.41E-02
127727,2023-10-16 09:00:00 EDT,99.23,100.61,34,20,82,8.6,11.6,ERROR,24100,6,288,11.6,10.6,3.10E-15,3.57E-02,2.86E-15,3.13E-02
127787,2023-10-16 10:00:00 EDT,99.27,100.65,33,21,76,8.2,12.3,ERROR,24100,7,572,12.8,11.5,1.79E-15,4.29E-02,4.04E-15,2.54E-02
127847,2023-10-16 11:00:00 EDT,99.32,100.71,33,21,79,8.2,11.7,ERROR,24100,7,981,12.3,11.5,3.41E-15,3.05E-02,3.35E-15,2.88E-02
127907,2023-10-16 12:00:00 EDT,99.33,100.71,33,26,67,8.1,14,ERROR,24100,7,645,14,11.7,3.52E-15,2.81E-02,3.70E-15,2.73E-02
127967,2023-10-16 13:00:00 EDT,99.33,100.71,35,19,72,7.6,12.5,ERROR,24100,7,1124,13.7,12.5,3.24E-15,2.93E-02,5.71E-15,2.07E-02
