,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
8807,2023-07-25 19:00:00 EDT,100.2,101.57,13,7,58,17.1,25.9,ERROR,24100,6,865,26,25.4,9.65E-16,6.49E-02,2.25E-15,3.95E-02
8867,2023-07-25 20:00:00 EDT,100.19,101.56,13,6,77,19.4,23.5,ERROR,24100,4,349,25.9,23.5,1.00E-15,6.21E-02,4.68E-15,2.35E-02
8927,2023-07-25 21:00:00 EDT,100.2,101.57,15,12,77,18.2,22.3,ERROR,24100,7,25,23.6,22.3,4.17E-16,1.13E-01,8.75E-15,1.61E-02
8987,2023-07-25 22:00:00 EDT,100.22,101.59,16,9,83,18.1,21.1,ERROR,24100,6,0,22.9,21,4.32E-16,1.05E-01,7.38E-15,2.04E-02
9047,2023-07-25 23:00:00 EDT,100.19,101.56,15,8,90,18,19.6,ERROR,24100,3,0,21,19.5,6.84E-16,7.65E-02,5.64E-15,2.35E-02
9107,2023-07-26 00:00:00 EDT,100.19,101.56,16,8,93,18,19.2,ERROR,24100,6,0,19.6,18.9,6.52E-16,7.68E-02,1.04E-14,1.46E-02
9167,2023-07-26 01:00:00 EDT,100.16,101.53,19,11,91,17.9,19.4,ERROR,24100,7,0,19.5,19,1.14E-15,5.70E-02,7.65E-15,2.00E-02
9227,2023-07-26 02:00:00 EDT,100.18,101.55,22,8,93,17.8,18.9,ERROR,24100,7,0,19.9,18.8,1.81E-15,4.16E-02,1.87E-15,4.58E-02
9287,2023-07-26 03:00:00 EDT,100.16,101.53,20,13,96,17.1,17.7,ERROR,24100,4,0,18.9,17.6,1.75E-15,4.48E-02,5.30E-15,2.27E-02
9347,2023-07-26 04:00:00 EDT,100.17,101.54,22,9,95,17.1,17.9,ERROR,24100,3,0,18.3,17.9,1.26E-15,5.17E-02,3.61E-15,3.94E-02
9407,2023-07-26 05:00:00 EDT,100.19,101.56,27,6,97,16.6,17,ERROR,24100,3,0,17.9,16.9,1.26E-15,5.33E-02,4.32E-16,9.92E-02
9467,2023-07-26 06:00:00 EDT,100.17,101.54,17,9,97,16.6,17,ERROR,24100,4,9,17.2,16.1,1.05E-15,5.77E-02,2.37E-16,1.41E-01
