,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
254267,2024-01-12 05:00:00 EST,100.62,102.08,25,7,84,-9.1,-6.8,-10,24100,7,0,-6.5,-6.8,6.93E-16,7.74E-02,1.31E-16,2.03E-01
254327,2024-01-12 06:00:00 EST,100.66,102.12,28,7,85,-10,-7.8,-11,24100,7,0,-6.8,-8.2,9.51E-16,6.33E-02,1.11E-16,2.23E-01
254387,2024-01-12 07:00:00 EST,100.88,102.35,25,10,82,-10.7,-8.2,-13,24100,6,0,-7.4,-8.4,1.62E-15,4.81E-02,7.45E-17,2.88E-01
254447,2024-01-12 08:00:00 EST,100.91,102.38,29,7,83,-12.2,-9.9,-14,24100,2,7,-7.8,-10.2,3.28E-15,2.99E-02,5.95E-17,3.32E-01
254507,2024-01-12 09:00:00 EST,100.91,102.38,0,8,78,-11.8,-8.6,-13,24100,2,352,-8.6,-10.4,6.68E-15,1.91E-02,,
254567,2024-01-12 10:00:00 EST,100.97,102.44,2,5,70,-12.2,-7.6,-10,24100,2,876,-7.6,-8.6,8.77E-15,1.59E-02,,
254627,2024-01-12 11:00:00 EST,100.97,102.43,0,3,66,-11.8,-6.5,-8,24100,4,1257,-6.3,-7.8,8.46E-15,1.63E-02,,
254687,2024-01-12 12:00:00 EST,100.88,102.34,36,1,66,-11.4,-6.1,-7,24100,6,1256,-5.5,-6.6,9.03E-15,1.56E-02,,
254747,2024-01-12 13:00:00 EST,100.75,102.21,7,12,63,-11.5,-5.4,-10,24100,7,1408,-5.3,-6,7.14E-15,1.85E-02,,
254807,2024-01-12 14:00:00 EST,100.54,101.99,8,21,62,-11.6,-5.5,-12,24100,6,1284,-5.2,-5.5,2.32E-15,3.81E-02,,
254867,2024-01-12 15:00:00 EST,100.57,102.03,10,16,67,-11,-5.7,-12,24100,7,720,-5.4,-5.8,5.52E-16,8.88E-02,,
254927,2024-01-12 16:00:00 EST,100.56,102.02,7,14,65,-11,-5.4,-11,24100,6,264,-5.4,-5.8,1.76E-16,1.75E-01,,
