,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
192167,2023-11-30 02:00:00 EST,99.63,101.05,19,11,88,-3.2,-1.6,-5,16100,8,0,-1.6,-1.9,2.12E-15,4.09E-02,8.61E-16,7.12E-02
192227,2023-11-30 03:00:00 EST,99.65,101.08,19,9,84,-4.2,-1.8,-5,24100,6,0,-1.2,-1.8,5.47E-16,9.34E-02,4.11E-16,1.03E-01
192287,2023-11-30 04:00:00 EST,99.66,101.08,21,15,81,-3.4,-0.5,-5,24100,8,0,-0.4,-1.8,1.06E-15,6.22E-02,1.77E-15,4.85E-02
192347,2023-11-30 05:00:00 EST,99.71,101.13,22,10,80,-3.1,0,-3,16100,8,0,0,-0.6,6.57E-16,7.58E-02,2.74E-15,3.20E-02
192407,2023-11-30 06:00:00 EST,99.74,101.16,20,15,79,-2.8,0.4,ERROR,16100,8,0,0.5,0,6.56E-16,7.69E-02,2.26E-15,3.61E-02
192467,2023-11-30 07:00:00 EST,99.76,101.18,21,23,79,-2.4,0.9,ERROR,24100,8,0,0.9,0.4,2.99E-16,1.50E-01,2.23E-15,3.64E-02
192527,2023-11-30 08:00:00 EST,99.74,101.16,20,22,79,-2.2,1.1,ERROR,24100,7,28,1.2,0.9,1.82E-16,1.89E-01,2.35E-15,3.56E-02
192587,2023-11-30 09:00:00 EST,99.73,101.15,20,25,77,-1.6,2,ERROR,24100,6,484,2,1,1.46E-15,5.79E-02,2.84E-15,3.32E-02
192647,2023-11-30 10:00:00 EST,99.76,101.18,21,27,71,-1.7,3.2,ERROR,24100,4,850,3.2,2,9.08E-16,9.26E-02,2.37E-15,3.64E-02
192707,2023-11-30 11:00:00 EST,99.68,101.1,22,31,71,-1.4,3.4,ERROR,24100,8,949,3.8,3.1,2.17E-16,1.71E-01,1.75E-15,4.21E-02
192767,2023-11-30 12:00:00 EST,99.62,101.04,21,21,69,-0.7,4.4,ERROR,24100,7,406,4.4,3.4,3.88E-16,1.11E-01,1.64E-15,4.44E-02
192827,2023-11-30 13:00:00 EST,99.56,100.98,20,33,60,-1.2,5.8,ERROR,24100,6,576,6.2,4.5,2.50E-16,1.98E-01,2.30E-15,3.67E-02
