,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
193787,2023-12-01 05:00:00 EST,99.89,101.3,36,2,79,1.2,4.7,ERROR,24100,8,0,5.5,3.8,1.87E-15,4.10E-02,1.61E-16,1.78E-01
193847,2023-12-01 06:00:00 EST,99.93,101.34,22,3,80,0.9,4,ERROR,24100,8,0,5.2,3.4,2.32E-15,3.58E-02,,
193907,2023-12-01 07:00:00 EST,100.02,101.44,36,1,80,1.2,4.4,ERROR,24100,7,0,5.7,3.2,2.17E-15,3.72E-02,,
193967,2023-12-01 08:00:00 EST,100.11,101.53,24,7,82,1.1,3.9,ERROR,24100,6,27,4.5,3.3,1.46E-15,5.43E-02,,
194027,2023-12-01 09:00:00 EST,100.18,101.6,23,10,77,2,5.7,ERROR,24100,6,212,5.7,3.1,2.11E-15,4.26E-02,,
194087,2023-12-01 10:00:00 EST,100.22,101.63,26,18,65,0.9,7.1,ERROR,24100,7,675,7.6,5.8,3.48E-15,2.96E-02,,
194147,2023-12-01 11:00:00 EST,100.25,101.66,29,23,66,1,7,ERROR,24100,6,1026,7.4,6.2,4.20E-15,2.51E-02,,
194207,2023-12-01 12:00:00 EST,100.21,101.62,30,18,61,0.2,7.2,ERROR,24100,7,1207,7.4,6.7,3.11E-15,3.01E-02,,
194267,2023-12-01 13:00:00 EST,100.2,101.61,29,18,60,-1.3,6,ERROR,24100,7,1007,7.1,6,1.35E-15,4.98E-02,,
194327,2023-12-01 14:00:00 EST,100.18,101.59,30,16,59,-1.8,5.5,ERROR,24100,7,534,6.1,5.5,4.76E-16,9.54E-02,,
194387,2023-12-01 15:00:00 EST,100.21,101.62,30,10,61,-2.2,4.8,ERROR,24100,7,146,5.6,4.8,3.39E-16,1.13E-01,,
194447,2023-12-01 16:00:00 EST,100.24,101.66,23,5,62,-2.4,4.2,ERROR,24100,8,39,4.8,4.1,4.16E-16,1.11E-01,,
