,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
22367,2023-08-04 05:00:00 EDT,99.56,100.92,19,10,98,15.9,16.3,ERROR,24100,7,0,16.9,16.3,1.34E-15,5.30E-02,2.80E-15,3.24E-02
22427,2023-08-04 06:00:00 EDT,99.62,100.99,22,7,96,16.1,16.6,ERROR,24100,7,0,16.7,16.4,5.48E-16,9.07E-02,,
22487,2023-08-04 07:00:00 EDT,99.63,101,21,7,97,16.3,16.8,ERROR,24100,7,121,16.8,16.5,1.04E-15,7.96E-02,,
22547,2023-08-04 08:00:00 EDT,99.64,101.01,23,8,95,16.8,17.6,ERROR,24100,7,231,17.6,16.8,4.33E-15,2.88E-02,,
22607,2023-08-04 09:00:00 EDT,99.66,101.03,23,9,90,16.8,18.3,ERROR,24100,6,666,18.4,17.6,7.49E-15,1.79E-02,,
22667,2023-08-04 10:00:00 EDT,99.69,101.06,32,5,78,17.1,20.9,ERROR,24100,7,1615,20.9,18.3,1.11E-14,1.43E-02,,
22727,2023-08-04 11:00:00 EDT,99.69,101.06,30,8,72,16.9,22.1,ERROR,24100,4,1957,22.2,20.7,1.03E-14,1.60E-02,,
22787,2023-08-04 12:00:00 EDT,99.69,101.06,30,13,63,16,23.4,ERROR,24100,4,2855,23.8,21.6,1.04E-14,1.53E-02,,
22847,2023-08-04 13:00:00 EDT,99.72,101.09,34,14,64,16.1,23.1,ERROR,24100,6,2719,24.2,23.1,9.40E-15,1.56E-02,,
22907,2023-08-04 14:00:00 EDT,99.74,101.1,31,22,50,14.3,25.2,ERROR,24100,6,2941,25.3,23.2,1.11E-14,1.38E-02,,
22967,2023-08-04 15:00:00 EDT,99.76,101.12,33,16,54,15.5,25.3,ERROR,24100,4,3199,25.9,24.5,9.23E-15,1.56E-02,,
23027,2023-08-04 16:00:00 EDT,99.75,101.11,32,26,54,15.6,25.4,ERROR,24100,6,2589,25.7,24.6,7.19E-15,1.80E-02,,
