,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
139127,2023-10-24 07:00:00 EDT,101.03,102.45,11,8,98,5,5.3,ERROR,24100,8,0,5.4,4.9,4.18E-16,1.01E-01,1.46E-15,5.54E-02
139187,2023-10-24 08:00:00 EDT,101.01,102.44,11,9,98,5.3,5.5,ERROR,24100,7,7,5.6,4.9,1.36E-15,5.24E-02,,
139247,2023-10-24 09:00:00 EDT,101.02,102.45,14,9,94,5.5,6.3,ERROR,24100,7,158,6.3,5.5,1.89E-15,4.02E-02,,
139307,2023-10-24 10:00:00 EDT,100.99,102.42,12,8,88,5.6,7.5,ERROR,24100,7,292,7.5,6.3,2.25E-15,3.62E-02,,
139367,2023-10-24 11:00:00 EDT,100.99,102.41,16,8,77,4.8,8.5,ERROR,24100,7,424,8.5,7.5,2.38E-15,3.52E-02,,
139427,2023-10-24 12:00:00 EDT,100.96,102.38,13,8,72,4.7,9.5,ERROR,24100,8,429,9.5,8.5,4.03E-15,2.58E-02,,
139487,2023-10-24 13:00:00 EDT,100.88,102.3,14,13,69,4.9,10.3,ERROR,24100,8,669,10.3,9.4,3.38E-15,2.91E-02,,
139547,2023-10-24 14:00:00 EDT,100.83,102.25,15,9,66,5.2,11.3,ERROR,24100,8,875,11.3,10.3,1.61E-15,4.50E-02,,
139607,2023-10-24 15:00:00 EDT,100.81,102.23,14,11,70,6,11.3,ERROR,24100,8,501,11.3,10.9,1.17E-15,5.94E-02,,
139667,2023-10-24 16:00:00 EDT,100.75,102.16,15,10,67,5.9,11.7,ERROR,24100,8,590,11.8,11.3,2.56E-16,1.45E-01,,
139727,2023-10-24 17:00:00 EDT,100.69,102.1,11,12,71,6.4,11.5,ERROR,24100,8,236,11.8,11.5,4.53E-16,1.02E-01,,
139787,2023-10-24 18:00:00 EDT,100.59,102,11,13,73,6.2,10.8,ERROR,24100,8,55,11.5,10.6,7.02E-16,7.48E-02,,
