,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
240887,2024-01-02 22:00:00 EST,99.86,101.29,19,20,71,-5.3,-0.6,-6,24100,8,0,-0.6,-0.7,2.38E-16,1.76E-01,5.35E-16,1.01E-01
240947,2024-01-02 23:00:00 EST,99.87,101.3,19,21,71,-5.1,-0.5,-6,24100,8,0,-0.5,-0.7,1.17E-16,2.44E-01,,
241007,2024-01-03 00:00:00 EST,99.85,101.28,21,18,71,-5,-0.3,-5,24100,8,0,-0.3,-0.5,1.61E-16,1.80E-01,,
241067,2024-01-03 01:00:00 EST,99.84,101.27,21,14,72,-4.7,-0.3,-5,24100,8,0,-0.2,-0.3,1.34E-16,1.97E-01,,
241127,2024-01-03 02:00:00 EST,99.82,101.25,21,14,74,-4.3,-0.2,-4,24100,8,0,-0.2,-0.3,7.21E-17,3.14E-01,,
241187,2024-01-03 03:00:00 EST,99.84,101.27,21,15,74,-4.1,-0.1,-5,24100,8,0,-0.1,-0.2,8.06E-17,2.80E-01,,
241247,2024-01-03 04:00:00 EST,99.84,101.27,25,11,76,-3.9,-0.1,-4,16100,8,0,-0.1,-0.2,1.86E-16,1.82E-01,,
241307,2024-01-03 05:00:00 EST,99.86,101.29,24,16,79,-3.5,-0.2,-5,16100,8,0,-0.1,-0.3,3.83E-16,1.39E-01,,
241367,2024-01-03 06:00:00 EST,99.87,101.3,23,10,81,-3.2,-0.3,-4,16100,8,0,-0.2,-0.3,3.49E-16,1.15E-01,,
241427,2024-01-03 07:00:00 EST,99.87,101.3,21,10,83,-2.9,-0.3,-4,16100,8,0,-0.2,-0.4,4.06E-16,1.03E-01,,
241487,2024-01-03 08:00:00 EST,99.85,101.28,21,5,84,-2.7,-0.4,-2,24100,8,0,-0.3,-0.5,1.87E-16,1.76E-01,,
241547,2024-01-03 09:00:00 EST,99.89,101.32,21,10,85,-2.4,-0.1,-3,24100,8,41,-0.1,-0.5,1.08E-16,2.39E-01,,
