,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
80567,2023-09-13 15:00:00 EDT,99.88,101.24,23,16,54,11.2,20.9,ERROR,24100,6,1352,21.5,20.4,5.92E-15,2.12E-02,4.00E-16,1.03E-01
80627,2023-09-13 16:00:00 EDT,99.89,101.26,22,23,55,10.3,19.6,ERROR,24100,7,1123,21.3,19.6,3.65E-15,3.06E-02,3.47E-16,1.15E-01
80687,2023-09-13 17:00:00 EDT,99.87,101.24,22,12,53,10.3,20.1,ERROR,24100,3,1363,20.9,19.5,8.81E-16,7.02E-02,,
80747,2023-09-13 18:00:00 EDT,99.89,101.27,24,19,59,10.5,18.5,ERROR,24100,7,528,20.4,18.5,3.89E-16,1.33E-01,,
80807,2023-09-13 19:00:00 EDT,99.92,101.3,23,14,65,11.3,18,ERROR,24100,8,91,18.7,18,3.32E-16,1.52E-01,,
80867,2023-09-13 20:00:00 EDT,99.97,101.35,22,13,71,11.9,17.2,ERROR,24100,7,4,18,17.2,2.75E-16,1.29E-01,,
80927,2023-09-13 21:00:00 EDT,100.04,101.42,27,20,58,8.3,16.5,ERROR,24100,7,0,17.3,16.4,2.13E-16,1.49E-01,,
80987,2023-09-13 22:00:00 EDT,100.09,101.47,27,17,64,8.6,15.2,ERROR,24100,7,0,16.5,15.2,2.33E-16,1.45E-01,,
81047,2023-09-13 23:00:00 EDT,100.1,101.48,27,11,73,9.2,14,ERROR,24100,7,0,15.2,14,2.96E-16,1.29E-01,,
81107,2023-09-14 00:00:00 EDT,100.12,101.5,25,12,84,9.1,11.7,ERROR,24100,4,0,13.8,11.7,4.39E-16,1.07E-01,,
81167,2023-09-14 01:00:00 EDT,100.14,101.52,23,9,84,8.8,11.4,ERROR,24100,2,0,12.6,11.4,2.59E-16,1.34E-01,,
81227,2023-09-14 02:00:00 EDT,100.18,101.57,24,10,89,8.7,10.3,ERROR,24100,3,0,11.3,10.3,2.56E-16,1.38E-01,,
