,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
52847,2023-08-25 09:00:00 EDT,99.62,100.99,8,5,100,17,17,ERROR,12900,8,492,17.1,16.1,1.45E-15,4.84E-02,7.29E-16,7.13E-02
52907,2023-08-25 10:00:00 EDT,99.64,101.01,3,8,95,17.4,18.2,ERROR,16100,8,687,18.2,16.6,1.97E-15,4.08E-02,5.55E-16,8.52E-02
52967,2023-08-25 11:00:00 EDT,99.64,101.01,1,5,89,17,18.8,ERROR,24100,8,757,18.9,17.2,4.14E-15,2.64E-02,6.23E-16,8.21E-02
53027,2023-08-25 12:00:00 EDT,99.66,101.03,36,2,86,17.3,19.6,ERROR,24100,8,707,19.6,18.7,6.56E-15,1.93E-02,8.20E-16,6.66E-02
53087,2023-08-25 13:00:00 EDT,99.65,101.02,33,6,85,17.5,20.1,ERROR,24100,7,1134,20.1,19.4,9.39E-15,1.56E-02,6.73E-16,7.93E-02
53147,2023-08-25 14:00:00 EDT,99.64,101.01,31,9,79,17.6,21.4,ERROR,24100,7,1714,22.1,19.5,8.50E-15,1.76E-02,3.72E-16,1.08E-01
53207,2023-08-25 15:00:00 EDT,99.61,100.98,33,5,75,18.1,22.8,ERROR,24100,7,2333,23.1,21.1,3.46E-15,2.98E-02,3.06E-16,1.29E-01
53267,2023-08-25 16:00:00 EDT,99.6,100.97,29,14,67,17.4,23.9,ERROR,24100,6,2611,24,22.2,1.89E-15,4.01E-02,2.38E-16,1.44E-01
53327,2023-08-25 17:00:00 EDT,99.62,100.99,28,11,74,17.4,22.1,ERROR,24100,7,979,24.1,22,1.43E-15,4.95E-02,,
53387,2023-08-25 18:00:00 EDT,99.62,100.99,25,11,79,17.8,21.6,ERROR,24100,7,521,22.1,21.6,5.25E-16,8.99E-02,,
53447,2023-08-25 19:00:00 EDT,99.62,100.99,25,8,83,18.1,21.1,ERROR,24100,8,201,21.8,21,3.17E-16,1.24E-01,,
53507,2023-08-25 20:00:00 EDT,99.64,101.01,25,5,86,17.9,20.2,ERROR,24100,8,44,21.2,20.2,3.24E-16,1.19E-01,,
