,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
226907,2023-12-24 05:00:00 EST,101.39,102.85,4,14,85,-4.5,-2.3,-7,9700,8,0,-2.3,-2.5,2.68E-16,1.39E-01,2023-12-25 04:00:00 EST
226967,2023-12-24 06:00:00 EST,101.4,102.86,6,9,81,-4.8,-1.9,-5,12900,8,0,-1.9,-2.3,2.23E-16,1.53E-01,5.58E-16
227027,2023-12-24 07:00:00 EST,101.44,102.9,4,10,81,-4.7,-1.8,-5,12900,8,0,-1.8,-1.9,3.19E-16,1.22E-01,8.76E-02
227087,2023-12-24 08:00:00 EST,101.48,102.94,5,10,83,-4.3,-1.7,-5,19300,8,1,-1.7,-1.9,4.06E-16,1.11E-01,
227147,2023-12-24 09:00:00 EST,101.55,103.01,4,9,83,-4,-1.4,-5,24100,8,30,-1.4,-1.7,4.92E-16,9.30E-02,
227207,2023-12-24 10:00:00 EST,101.58,103.04,6,8,83,-3.6,-1,-4,8100,8,123,-1,-1.6,8.89E-16,6.33E-02,
227267,2023-12-24 11:00:00 EST,101.56,103.02,7,8,84,-2.8,-0.3,-3,8100,8,247,-0.3,-1,1.39E-15,4.99E-02,
227327,2023-12-24 12:00:00 EST,101.51,102.97,4,10,84,-2.5,-0.1,-3,8100,8,291,0,-0.3,1.59E-15,4.48E-02,
227387,2023-12-24 13:00:00 EST,101.47,102.92,4,8,84,-2.2,0.3,ERROR,8100,8,326,0.3,-0.1,1.33E-15,5.00E-02,
227447,2023-12-24 14:00:00 EST,101.47,102.92,4,7,85,-1.7,0.5,ERROR,8100,8,314,0.6,0.3,6.99E-16,7.56E-02,
227507,2023-12-24 15:00:00 EST,101.49,102.94,6,7,86,-1.7,0.4,ERROR,8100,8,185,0.6,0.4,4.37E-16,1.01E-01,
227567,2023-12-24 16:00:00 EST,101.52,102.97,5,9,87,-1.6,0.3,ERROR,8100,8,63,0.4,0.3,7.67E-16,7.46E-02,
