Index,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa)
47,7/19/2023 17:00,2023,7,19,17:00,25.3,13.2,47,0,27,12,100.7
107,7/19/2023 18:00,2023,7,19,18:00,24.7,13,48,0,32,10,100.67
167,7/19/2023 19:00,2023,7,19,19:00,24.1,12.6,49,0,30,8,100.68
227,7/19/2023 20:00,2023,7,19,20:00,20.4,16.1,76,0,30,1,100.68
287,7/19/2023 21:00,2023,7,19,21:00,18,15.2,83,0,0,1,100.72
347,7/19/2023 22:00,2023,7,19,22:00,17.8,14.9,83,0,34,2,100.75
407,7/19/2023 23:00,2023,7,19,23:00,18.9,15.6,81,0,19,2,100.76
467,7/20/2023 0:00,2023,7,20,0:00,18.3,16.4,89,0,19,2,100.76
527,7/20/2023 1:00,2023,7,20,1:00,16.9,15,89,0,17,2,100.75
587,7/20/2023 2:00,2023,7,20,2:00,16,14.6,92,0,ERROR,0,100.72
647,7/20/2023 3:00,2023,7,20,3:00,16.4,15.1,92,0,19,6,100.71
707,7/20/2023 4:00,2023,7,20,4:00,16.3,15.1,93,0,19,2,100.71
767,7/20/2023 5:00,2023,7,20,5:00,15.5,14.4,93,0,19,2,100.69
827,7/20/2023 6:00,2023,7,20,6:00,17.2,15.6,91,0,0,1,100.7
887,7/20/2023 7:00,2023,7,20,7:00,18.8,15.9,83,0,19,2,100.71
947,7/20/2023 8:00,2023,7,20,8:00,21.1,16.2,74,0,ERROR,0,100.69
1007,7/20/2023 9:00,2023,7,20,9:00,22.8,16.5,68,0,ERROR,0,100.63
1067,7/20/2023 10:00,2023,7,20,10:00,24.4,16.6,62,0,20,9,100.58
1127,7/20/2023 11:00,2023,7,20,11:00,25,17.4,63,0,18,13,100.52
1187,7/20/2023 12:00,2023,7,20,12:00,26.1,14.9,50,0,19,13,100.45
1247,7/20/2023 13:00,2023,7,20,13:00,25.5,16.1,56,0,17,19,100.38
1307,7/20/2023 14:00,2023,7,20,14:00,25.6,15.2,53,0,18,15,100.33
1367,7/20/2023 15:00,2023,7,20,15:00,26.3,15.1,50,0,16,14,100.28
1427,7/20/2023 16:00,2023,7,20,16:00,25.8,14.6,50,0,19,20,100.24
1487,7/20/2023 17:00,2023,7,20,17:00,25.6,13.3,47,0,18,9,100.13
1547,7/20/2023 18:00,2023,7,20,18:00,25.5,14.2,50,0,14,7,100.06
1607,7/20/2023 19:00,2023,7,20,19:00,24.8,14.1,52,0,14,9,100.03
1667,7/20/2023 20:00,2023,7,20,20:00,23.2,14.9,60,0,13,8,99.95
1727,7/20/2023 21:00,2023,7,20,21:00,22.2,15.2,64,0,12,7,99.98
1787,7/20/2023 22:00,2023,7,20,22:00,21.9,16.5,72,0,12,12,99.88
1847,7/20/2023 23:00,2023,7,20,23:00,20.3,17.1,82,0.8,36,12,99.82
1907,7/21/2023 0:00,2023,7,21,0:00,20.3,17.1,82,0,5,11,99.74
1967,7/21/2023 1:00,2023,7,21,1:00,19,17.4,90,1.7,6,16,99.57
2027,7/21/2023 2:00,2023,7,21,2:00,18.3,17.6,96,5.3,29,7,99.66
2087,7/21/2023 3:00,2023,7,21,3:00,18.2,17.3,95,3.1,2,12,99.53
2147,7/21/2023 4:00,2023,7,21,4:00,17.9,17.2,96,1.5,7,15,99.48
2207,7/21/2023 5:00,2023,7,21,5:00,17.9,17.3,97,13.1,33,13,99.48
2267,7/21/2023 6:00,2023,7,21,6:00,18.6,17.7,95,1.1,30,9,99.47
2327,7/21/2023 7:00,2023,7,21,7:00,18.9,17.7,92,0,23,5,99.52
2387,7/21/2023 8:00,2023,7,21,8:00,18.8,17.6,93,0,21,15,99.52
2447,7/21/2023 9:00,2023,7,21,9:00,19.7,17.5,87,0,24,16,99.51
2507,7/21/2023 10:00,2023,7,21,10:00,19.8,16.8,83,0,26,18,99.53
2567,7/21/2023 11:00,2023,7,21,11:00,19.1,17.5,91,0.2,27,19,99.55
2627,7/21/2023 12:00,2023,7,21,12:00,20.4,16.8,80,0,27,16,99.56
2687,7/21/2023 13:00,2023,7,21,13:00,18.6,16.9,90,3.6,29,10,99.58
2747,7/21/2023 14:00,2023,7,21,14:00,22.5,17.8,75,0,29,16,99.56
2807,7/21/2023 15:00,2023,7,21,15:00,21.6,16.1,71,0,30,18,99.6
2867,7/21/2023 16:00,2023,7,21,16:00,21.1,16.2,74,0,31,19,99.64
2927,7/21/2023 17:00,2023,7,21,17:00,20.3,16.1,77,0,30,15,99.67
2987,7/21/2023 18:00,2023,7,21,18:00,18.8,17.3,91,1.4,28,8,99.71
3047,7/21/2023 19:00,2023,7,21,19:00,17.8,16.3,91,3,30,8,99.73
3107,7/21/2023 20:00,2023,7,21,20:00,18.2,17.2,94,0,27,9,99.75
3167,7/21/2023 21:00,2023,7,21,21:00,18.3,17,92,0,28,14,99.77
3227,7/21/2023 22:00,2023,7,21,22:00,18,16.5,91,0,28,14,99.75
3287,7/21/2023 23:00,2023,7,21,23:00,17.7,16,89,0,28,12,99.73
3347,7/22/2023 0:00,2023,7,22,0:00,17.8,15.4,86,0,29,14,99.72
3407,7/22/2023 1:00,2023,7,22,1:00,17.5,15.5,88,0,29,14,99.7
3467,7/22/2023 2:00,2023,7,22,2:00,17.3,15.1,87,0,28,13,99.7
3527,7/22/2023 3:00,2023,7,22,3:00,17.2,14.3,83,0,29,9,99.7
3587,7/22/2023 4:00,2023,7,22,4:00,16.7,14.5,87,0,27,11,99.75
3647,7/22/2023 5:00,2023,7,22,5:00,16.6,14.4,87,0,27,13,99.8
3707,7/22/2023 6:00,2023,7,22,6:00,16.4,14.4,88,0,28,14,99.84
3767,7/22/2023 7:00,2023,7,22,7:00,17.7,14.3,80,0,27,12,99.89
3827,7/22/2023 8:00,2023,7,22,8:00,18.8,14.3,75,0,28,16,99.89
3887,7/22/2023 9:00,2023,7,22,9:00,19.8,14.3,71,0,27,16,99.91
3947,7/22/2023 10:00,2023,7,22,10:00,20.8,14.2,66,0,29,17,99.91
4007,7/22/2023 11:00,2023,7,22,11:00,22.2,14.7,62,0,29,17,99.89
4067,7/22/2023 12:00,2023,7,22,12:00,23.5,14.5,57,0,28,19,99.9
4127,7/22/2023 13:00,2023,7,22,13:00,24.2,15,57,0,28,21,99.9
4187,7/22/2023 14:00,2023,7,22,14:00,24.5,13.9,52,0,29,19,99.92
4247,7/22/2023 15:00,2023,7,22,15:00,24.9,13,48,0,29,18,99.92
4307,7/22/2023 16:00,2023,7,22,16:00,24.7,12.1,45,0,28,21,99.96
4367,7/22/2023 17:00,2023,7,22,17:00,24.7,11.5,44,0,27,18,99.96
4427,7/22/2023 18:00,2023,7,22,18:00,24.2,12.8,49,0,28,15,99.98
4487,7/22/2023 19:00,2023,7,22,19:00,23.4,12,49,0,28,11,100
4547,7/22/2023 20:00,2023,7,22,20:00,21.5,12.5,56,0,27,7,100.02
4607,7/22/2023 21:00,2023,7,22,21:00,20.3,12.5,61,0,28,8,100.06
4667,7/22/2023 22:00,2023,7,22,22:00,18.6,12.1,66,0,29,5,100.09
4727,7/22/2023 23:00,2023,7,22,23:00,15.5,13.1,86,0,ERROR,0,100.1
4787,7/23/2023 0:00,2023,7,23,0:00,14.6,12.5,87,0,23,4,100.14
4847,7/23/2023 1:00,2023,7,23,1:00,13.9,12.6,92,0,23,3,100.16
4907,7/23/2023 2:00,2023,7,23,2:00,14.1,11.9,87,0,21,7,100.15
4967,7/23/2023 3:00,2023,7,23,3:00,12.8,11.6,92,0,21,2,100.17
5027,7/23/2023 4:00,2023,7,23,4:00,12.2,11.3,94,0,ERROR,0,100.21
5087,7/23/2023 5:00,2023,7,23,5:00,12.4,11.7,96,0,ERROR,0,100.29
5147,7/23/2023 6:00,2023,7,23,6:00,15.4,13.6,89,0,21,3,100.33
5207,7/23/2023 7:00,2023,7,23,7:00,17.9,13.8,77,0,ERROR,0,100.36
5267,7/23/2023 8:00,2023,7,23,8:00,20.3,14.3,69,0,0,1,100.38
5327,7/23/2023 9:00,2023,7,23,9:00,23.1,14,57,0,22,1,100.41
5387,7/23/2023 10:00,2023,7,23,10:00,24.6,12.6,47,0,ERROR,0,100.42
5447,7/23/2023 11:00,2023,7,23,11:00,25.6,11.7,42,0,17,5,100.41
5507,7/23/2023 12:00,2023,7,23,12:00,26.2,12.2,42,0,19,7,100.39
5567,7/23/2023 13:00,2023,7,23,13:00,25.9,13.6,46,0,24,7,100.35
5627,7/23/2023 14:00,2023,7,23,14:00,27.1,14.2,45,0,34,2,100.32
5687,7/23/2023 15:00,2023,7,23,15:00,27.1,13.6,44,0,0,1,100.31
5747,7/23/2023 16:00,2023,7,23,16:00,27.7,13.8,43,0,22,11,100.27
5807,7/23/2023 17:00,2023,7,23,17:00,27.2,13.4,42,0,23,10,100.28
5867,7/23/2023 18:00,2023,7,23,18:00,26.4,13.8,46,0,21,12,100.32
5927,7/23/2023 19:00,2023,7,23,19:00,24.8,14.7,53,0,22,10,100.35
5987,7/23/2023 20:00,2023,7,23,20:00,23.4,14.7,58,0,22,11,100.4
6047,7/23/2023 21:00,2023,7,23,21:00,22,16.4,70,0,22,12,100.47
6107,7/23/2023 22:00,2023,7,23,22:00,21.3,16.6,75,0,22,11,100.54
6167,7/23/2023 23:00,2023,7,23,23:00,21.2,16.5,75,0,22,11,100.57
6227,7/24/2023 0:00,2023,7,24,0:00,19.7,16.4,82,0,22,8,100.6
6287,7/24/2023 1:00,2023,7,24,1:00,18.1,16.2,89,0,21,7,100.57
6347,7/24/2023 2:00,2023,7,24,2:00,17.9,16.4,91,0,20,13,100.59
6407,7/24/2023 3:00,2023,7,24,3:00,17.6,16.3,92,0,21,8,100.62
6467,7/24/2023 4:00,2023,7,24,4:00,17.3,16.4,94,0,21,7,100.66
6527,7/24/2023 5:00,2023,7,24,5:00,17.4,16.5,94,0,21,6,100.7
6587,7/24/2023 6:00,2023,7,24,6:00,18.7,17.1,91,0,21,5,100.7
6647,7/24/2023 7:00,2023,7,24,7:00,20.2,17.5,84,0,20,5,100.73
6707,7/24/2023 8:00,2023,7,24,8:00,21.9,17.4,75,0,21,5,100.74
6767,7/24/2023 9:00,2023,7,24,9:00,24.3,17.4,65,0,22,6,100.71
6827,7/24/2023 10:00,2023,7,24,10:00,25.8,17.5,60,0,20,5,100.71
6887,7/24/2023 11:00,2023,7,24,11:00,26.8,18.4,60,0,20,12,100.68
6947,7/24/2023 12:00,2023,7,24,12:00,27.3,18.4,58,0,18,16,100.63
7007,7/24/2023 13:00,2023,7,24,13:00,27.8,16.2,49,0,20,14,100.57
7067,7/24/2023 14:00,2023,7,24,14:00,28,16.9,51,0,17,14,100.5
7127,7/24/2023 15:00,2023,7,24,15:00,28.5,17.7,52,0,19,15,100.44
7187,7/24/2023 16:00,2023,7,24,16:00,24.9,17.3,63,0,15,8,100.44
7247,7/24/2023 17:00,2023,7,24,17:00,23,18.6,76,0,36,6,100.47
7307,7/24/2023 18:00,2023,7,24,18:00,22.1,18.4,79,0,36,8,100.51
7367,7/24/2023 19:00,2023,7,24,19:00,20.7,18.4,86,1,28,2,100.57
7427,7/24/2023 20:00,2023,7,24,20:00,19.9,18.4,91,0.7,8,6,100.61
7487,7/24/2023 21:00,2023,7,24,21:00,19.4,18.4,94,0,15,5,100.61
7547,7/24/2023 22:00,2023,7,24,22:00,19.1,18.2,95,0,18,5,100.6
7607,7/24/2023 23:00,2023,7,24,23:00,18.1,17.4,96,0,26,4,100.59
7667,7/25/2023 0:00,2023,7,25,0:00,18.3,17.8,97,0,31,3,100.62
7727,7/25/2023 1:00,2023,7,25,1:00,17.6,17.3,98,0,ERROR,0,100.64
7787,7/25/2023 2:00,2023,7,25,2:00,16.5,16.2,98,0,26,4,100.62
7847,7/25/2023 3:00,2023,7,25,3:00,16.9,16.7,98,0,23,5,100.64
7907,7/25/2023 4:00,2023,7,25,4:00,16.6,16.3,98,0,0,1,100.67
7967,7/25/2023 5:00,2023,7,25,5:00,17.8,17.6,99,0,32,7,100.7
8027,7/25/2023 6:00,2023,7,25,6:00,17.1,16.8,98,0,31,3,100.72
8087,7/25/2023 7:00,2023,7,25,7:00,17.7,17.4,98,0,28,4,100.75
8147,7/25/2023 8:00,2023,7,25,8:00,19.4,17.5,89,0,25,7,100.8
8207,7/25/2023 9:00,2023,7,25,9:00,19.9,16.9,83,0,29,7,100.83
8267,7/25/2023 10:00,2023,7,25,10:00,21.4,17.4,78,0,30,4,100.86
8327,7/25/2023 11:00,2023,7,25,11:00,22.6,18.2,76,0,28,2,100.86
8387,7/25/2023 12:00,2023,7,25,12:00,24.1,19.3,75,0,25,1,100.83
8447,7/25/2023 13:00,2023,7,25,13:00,24.4,18.7,71,0,1,5,100.79
8507,7/25/2023 14:00,2023,7,25,14:00,25.1,16,57,0,33,7,100.73
8567,7/25/2023 15:00,2023,7,25,15:00,26,15.6,53,0,24,2,100.67
8627,7/25/2023 16:00,2023,7,25,16:00,26.1,13.3,45,0,24,2,100.61
8687,7/25/2023 17:00,2023,7,25,17:00,26.6,14.3,47,0,20,5,100.6
8747,7/25/2023 18:00,2023,7,25,18:00,25.7,17.5,61,0,21,7,100.61
8807,7/25/2023 19:00,2023,7,25,19:00,24.5,17.1,63,0,20,3,100.6
8867,7/25/2023 20:00,2023,7,25,20:00,23.5,17.5,69,0,18,5,100.59
8927,7/25/2023 21:00,2023,7,25,21:00,22.6,17.6,73,0,18,9,100.62
8987,7/25/2023 22:00,2023,7,25,22:00,21,18,83,0,17,6,100.59
9047,7/25/2023 23:00,2023,7,25,23:00,20.1,17.9,87,0,18,3,100.59
9107,7/26/2023 0:00,2023,7,26,0:00,20.6,17.8,84,0,24,8,100.57
9167,7/26/2023 1:00,2023,7,26,1:00,19.7,17.8,89,0,24,6,100.57
9227,7/26/2023 2:00,2023,7,26,2:00,19.1,17.4,90,0,24,9,100.55
9287,7/26/2023 3:00,2023,7,26,3:00,18.9,17,89,0,24,10,100.58
9347,7/26/2023 4:00,2023,7,26,4:00,18.6,16.7,89,0,26,7,100.6
9407,7/26/2023 5:00,2023,7,26,5:00,17.3,16.3,94,0,21,4,100.58
9467,7/26/2023 6:00,2023,7,26,6:00,18.5,16.9,90,0,20,9,100.59
9527,7/26/2023 7:00,2023,7,26,7:00,20.1,18,88,0,19,11,100.59
9587,7/26/2023 8:00,2023,7,26,8:00,21.6,19,85,0,21,13,100.6
9647,7/26/2023 9:00,2023,7,26,9:00,23.6,20.4,82,0,19,15,100.51
9707,7/26/2023 10:00,2023,7,26,10:00,25.6,20,71,0,21,20,100.48
9767,7/26/2023 11:00,2023,7,26,11:00,25.1,20.5,76,0,23,11,100.48
9827,7/26/2023 12:00,2023,7,26,12:00,26.2,20.9,72,0,21,20,100.44
9887,7/26/2023 13:00,2023,7,26,13:00,27.9,21.4,68,0,22,20,100.32
9947,7/26/2023 14:00,2023,7,26,14:00,24.6,21.6,83,0.7,29,18,100.31
10007,7/26/2023 15:00,2023,7,26,15:00,26.1,20.9,73,2.3,20,14,100.24
10067,7/26/2023 16:00,2023,7,26,16:00,27.8,21.9,70,0,21,19,100.19
10127,7/26/2023 17:00,2023,7,26,17:00,27.6,21.4,69,0,21,19,100.19
10187,7/26/2023 18:00,2023,7,26,18:00,27.1,20.6,68,0,22,19,100.15
10247,7/26/2023 19:00,2023,7,26,19:00,26.5,19.3,65,0,22,19,100.18
10307,7/26/2023 20:00,2023,7,26,20:00,25,18.8,68,0,22,12,100.22
10367,7/26/2023 21:00,2023,7,26,21:00,23.4,18.5,74,0,2,21,100.32
10427,7/26/2023 22:00,2023,7,26,22:00,22,18,78,0,4,10,100.31
10487,7/26/2023 23:00,2023,7,26,23:00,21.6,18,80,0,6,13,100.28
10547,7/27/2023 0:00,2023,7,27,0:00,21.2,18,82,0,8,13,100.15
10607,7/27/2023 1:00,2023,7,27,1:00,20.4,18.1,86,0,13,10,100.17
10667,7/27/2023 2:00,2023,7,27,2:00,20.3,18,86,0.3,12,13,100.1
10727,7/27/2023 3:00,2023,7,27,3:00,19.4,18.2,93,0.9,12,12,100
10787,7/27/2023 4:00,2023,7,27,4:00,19.4,18.4,94,0.8,14,14,99.94
10847,7/27/2023 5:00,2023,7,27,5:00,19.1,18.4,96,1.3,11,18,99.97
10907,7/27/2023 6:00,2023,7,27,6:00,18.7,18,96,1.2,9,14,99.99
10967,7/27/2023 7:00,2023,7,27,7:00,19,18.3,96,0.5,6,12,99.99
11027,7/27/2023 8:00,2023,7,27,8:00,19.2,18.6,96,0,4,12,99.99
11087,7/27/2023 9:00,2023,7,27,9:00,19.4,18.5,95,0,4,13,99.99
11147,7/27/2023 10:00,2023,7,27,10:00,20.2,18.9,92,0,3,15,100.04
11207,7/27/2023 11:00,2023,7,27,11:00,22.3,19.9,86,0,6,12,100.05
11267,7/27/2023 12:00,2023,7,27,12:00,24.1,19.8,77,0,2,12,100.07
11327,7/27/2023 13:00,2023,7,27,13:00,25.7,18.9,66,0,30,6,100.09
11387,7/27/2023 14:00,2023,7,27,14:00,26.7,20.3,68,0,28,7,100.11
11447,7/27/2023 15:00,2023,7,27,15:00,27.4,19.1,61,0,31,9,100.13
11507,7/27/2023 16:00,2023,7,27,16:00,27.6,19,59,0,30,10,100.1
11567,7/27/2023 17:00,2023,7,27,17:00,26.9,19.8,65,0,32,14,100.13
11627,7/27/2023 18:00,2023,7,27,18:00,26.7,19.9,67,0,28,11,100.14
11687,7/27/2023 19:00,2023,7,27,19:00,25.6,19.5,69,0,29,8,100.18
11747,7/27/2023 20:00,2023,7,27,20:00,24.2,19.7,76,0,26,7,100.23
11807,7/27/2023 21:00,2023,7,27,21:00,22.8,19.7,83,0,22,8,100.27
11867,7/27/2023 22:00,2023,7,27,22:00,22.8,19.8,83,0,22,12,100.3
11927,7/27/2023 23:00,2023,7,27,23:00,23.2,20.1,83,0,22,15,100.36
11987,7/28/2023 0:00,2023,7,28,0:00,21.6,20,90,0,23,4,100.36
12047,7/28/2023 1:00,2023,7,28,1:00,20.8,20.1,96,0,20,6,100.29
12107,7/28/2023 2:00,2023,7,28,2:00,20.7,20.2,97,0,23,6,100.31
12167,7/28/2023 3:00,2023,7,28,3:00,21.1,20.5,97,0,26,6,100.32
12227,7/28/2023 4:00,2023,7,28,4:00,21.1,20.4,96,0,26,8,100.34
12287,7/28/2023 5:00,2023,7,28,5:00,20.5,19.8,96,0,24,8,100.31
12347,7/28/2023 6:00,2023,7,28,6:00,21,19.5,91,0,22,11,100.34
12407,7/28/2023 7:00,2023,7,28,7:00,22.2,19.4,84,0,21,10,100.31
12467,7/28/2023 8:00,2023,7,28,8:00,24.4,19.5,74,0,23,11,100.37
12527,7/28/2023 9:00,2023,7,28,9:00,25.7,20.7,74,0,27,12,100.39
12587,7/28/2023 10:00,2023,7,28,10:00,26.3,20.7,71,0,28,11,100.38
12647,7/28/2023 11:00,2023,7,28,11:00,25.9,20.7,73,0,25,14,100.37
12707,7/28/2023 12:00,2023,7,28,12:00,25.5,20.5,74,0,27,13,100.36
12767,7/28/2023 13:00,2023,7,28,13:00,26.2,20.9,73,0,25,11,100.3
12827,7/28/2023 14:00,2023,7,28,14:00,26.6,21.4,73,0,26,10,100.2
12887,7/28/2023 15:00,2023,7,28,15:00,22.2,21.5,96,27.3,7,4,100.21
12947,7/28/2023 16:00,2023,7,28,16:00,24.3,20.1,78,0,22,6,100.15
13007,7/28/2023 17:00,2023,7,28,17:00,25.5,21.7,80,0,ERROR,0,100.14
13067,7/28/2023 18:00,2023,7,28,18:00,24.9,22.4,86,0,27,3,100.08
13127,7/28/2023 19:00,2023,7,28,19:00,21.9,19,84,2,25,18,100.17
13187,7/28/2023 20:00,2023,7,28,20:00,21.2,20,93,0.2,31,5,100.18
13247,7/28/2023 21:00,2023,7,28,21:00,21.3,20.1,93,0.6,25,5,100.27
13307,7/28/2023 22:00,2023,7,28,22:00,21.5,20.7,95,0,24,4,100.28
13367,7/28/2023 23:00,2023,7,28,23:00,21.2,20.6,96,0,31,6,100.32
13427,7/29/2023 0:00,2023,7,29,0:00,20,16.8,82,0,1,14,100.4
13487,7/29/2023 1:00,2023,7,29,1:00,18.9,15.1,79,0,3,15,100.38
13547,7/29/2023 2:00,2023,7,29,2:00,17.5,14.1,81,0,36,11,100.37
13607,7/29/2023 3:00,2023,7,29,3:00,17.1,13.7,80,0,36,10,100.37
13667,7/29/2023 4:00,2023,7,29,4:00,17,13.1,78,0,36,13,100.4
13727,7/29/2023 5:00,2023,7,29,5:00,16.7,12.7,77,0,3,10,100.35
13787,7/29/2023 6:00,2023,7,29,6:00,16.7,11.8,73,0,3,13,100.41
13847,7/29/2023 7:00,2023,7,29,7:00,16.4,11.4,72,0,3,13,100.43
13907,7/29/2023 8:00,2023,7,29,8:00,17.2,12.2,72,0,3,13,100.38
13967,7/29/2023 9:00,2023,7,29,9:00,17.9,11.9,68,0,6,15,100.36
14027,7/29/2023 10:00,2023,7,29,10:00,17.8,12.1,69,0,6,11,100.32
14087,7/29/2023 11:00,2023,7,29,11:00,17.9,11.1,64,0,2,9,100.33
14147,7/29/2023 12:00,2023,7,29,12:00,18.1,12.4,69,0,2,6,100.24
14207,7/29/2023 13:00,2023,7,29,13:00,18.2,12.7,70,0,36,10,100.24
14267,7/29/2023 14:00,2023,7,29,14:00,17.7,12.1,70,0,36,14,100.17
14327,7/29/2023 15:00,2023,7,29,15:00,17.4,12.8,74,0,36,13,100.22
14387,7/29/2023 16:00,2023,7,29,16:00,18.4,12.1,67,0,1,18,100.28
14447,7/29/2023 17:00,2023,7,29,17:00,19,11.5,62,0,36,14,100.25
14507,7/29/2023 18:00,2023,7,29,18:00,18.6,10.7,60,0,1,14,100.24
14567,7/29/2023 19:00,2023,7,29,19:00,17.6,10.6,63,0,35,13,100.25
14627,7/29/2023 20:00,2023,7,29,20:00,16.3,11.7,74,0,30,9,100.29
14687,7/29/2023 21:00,2023,7,29,21:00,15.3,11.7,79,0,31,6,100.34
14747,7/29/2023 22:00,2023,7,29,22:00,14.8,10.9,77,0,31,9,100.37
14807,7/29/2023 23:00,2023,7,29,23:00,14.3,10.2,76,0,31,8,100.4
14867,7/30/2023 0:00,2023,7,30,0:00,12,9.8,86,0,31,3,100.43
14927,7/30/2023 1:00,2023,7,30,1:00,11.1,9.9,92,0,28,5,100.43
14987,7/30/2023 2:00,2023,7,30,2:00,10.4,9.5,94,0,27,2,100.44
15047,7/30/2023 3:00,2023,7,30,3:00,12,10.9,93,0,28,5,100.43
15107,7/30/2023 4:00,2023,7,30,4:00,11.6,10.8,95,0,27,3,100.42
15167,7/30/2023 5:00,2023,7,30,5:00,12.1,11.2,94,0,28,5,100.43
15227,7/30/2023 6:00,2023,7,30,6:00,13.8,12.6,92,0,27,7,100.46
15287,7/30/2023 7:00,2023,7,30,7:00,14.9,12.1,84,0,28,11,100.49
15347,7/30/2023 8:00,2023,7,30,8:00,16.4,12.7,78,0,25,14,100.5
15407,7/30/2023 9:00,2023,7,30,9:00,18.7,12.5,67,0,27,15,100.51
15467,7/30/2023 10:00,2023,7,30,10:00,19.9,12.5,62,0,26,10,100.48
15527,7/30/2023 11:00,2023,7,30,11:00,21.1,12.2,57,0,26,14,100.47
15587,7/30/2023 12:00,2023,7,30,12:00,22.2,12.5,54,0,26,17,100.42
15647,7/30/2023 13:00,2023,7,30,13:00,23,12.6,52,0,27,18,100.37
15707,7/30/2023 14:00,2023,7,30,14:00,24,11.7,46,0,27,19,100.31
15767,7/30/2023 15:00,2023,7,30,15:00,24.1,11.1,44,0,27,16,100.25
15827,7/30/2023 16:00,2023,7,30,16:00,23.9,9.9,41,0,26,22,100.23
15887,7/30/2023 17:00,2023,7,30,17:00,23.9,11.1,44,0,27,15,100.2
15947,7/30/2023 18:00,2023,7,30,18:00,23.2,10.5,45,0,27,14,100.22
16007,7/30/2023 19:00,2023,7,30,19:00,21.4,12.5,57,0,23,7,100.26
16067,7/30/2023 20:00,2023,7,30,20:00,18.9,14.6,76,0.3,32,9,100.29
16127,7/30/2023 21:00,2023,7,30,21:00,19.5,13.1,67,0,26,8,100.28
16187,7/30/2023 22:00,2023,7,30,22:00,17.7,13.9,79,0.5,29,24,100.37
16247,7/30/2023 23:00,2023,7,30,23:00,15.4,13.6,89,1.5,34,7,100.33
16307,7/31/2023 0:00,2023,7,31,0:00,13.9,13.4,97,0,22,5,100.32
16367,7/31/2023 1:00,2023,7,31,1:00,14.6,14,96,0,22,6,100.31
16427,7/31/2023 2:00,2023,7,31,2:00,15,14.3,96,0,25,4,100.3
16487,7/31/2023 3:00,2023,7,31,3:00,15.1,14,93,0,29,7,100.3
16547,7/31/2023 4:00,2023,7,31,4:00,14.8,13.4,92,0,30,7,100.32
16607,7/31/2023 5:00,2023,7,31,5:00,14.7,13.5,92,0,31,10,100.39
16667,7/31/2023 6:00,2023,7,31,6:00,14.9,13.4,91,0,30,9,100.44
16727,7/31/2023 7:00,2023,7,31,7:00,15.3,13.1,87,0,31,16,100.53
16787,7/31/2023 8:00,2023,7,31,8:00,16.1,13.2,83,0,33,14,100.57
16847,7/31/2023 9:00,2023,7,31,9:00,17.6,13.7,78,0,32,15,100.62
16907,7/31/2023 10:00,2023,7,31,10:00,19.2,12,63,0,33,17,100.65
16967,7/31/2023 11:00,2023,7,31,11:00,19.3,9.7,53,0,34,18,100.69
17027,7/31/2023 12:00,2023,7,31,12:00,18.7,9.1,53,0,32,18,100.67
17087,7/31/2023 13:00,2023,7,31,13:00,19.7,9.6,52,0,34,15,100.65
17147,7/31/2023 14:00,2023,7,31,14:00,20,8.3,47,0,33,17,100.66
17207,7/31/2023 15:00,2023,7,31,15:00,20.4,9.8,51,0,31,15,100.67
17267,7/31/2023 16:00,2023,7,31,16:00,19.9,9.8,52,0,30,11,100.7
17327,7/31/2023 17:00,2023,7,31,17:00,19.7,8.4,48,0,34,22,100.71
17387,7/31/2023 18:00,2023,7,31,18:00,19.5,8.3,48,0,33,18,100.75
17447,7/31/2023 19:00,2023,7,31,19:00,18.1,8.2,52,0,31,12,100.81
17507,7/31/2023 20:00,2023,7,31,20:00,16.9,8.2,56,0,31,10,100.85
17567,7/31/2023 21:00,2023,7,31,21:00,15.6,8.8,64,0,31,8,100.94
17627,7/31/2023 22:00,2023,7,31,22:00,14.6,8.8,68,0,32,7,100.96
17687,7/31/2023 23:00,2023,7,31,23:00,12.9,9.2,79,0,31,6,100.99
17747,8/1/2023 0:00,2023,8,1,0:00,11.3,9.2,87,0,31,1,101
17807,8/1/2023 1:00,2023,8,1,1:00,11.5,8.4,81,0,31,4,101
17867,8/1/2023 2:00,2023,8,1,2:00,10.3,8.4,88,0,ERROR,0,101.01
17927,8/1/2023 3:00,2023,8,1,3:00,8.9,7.6,92,0,ERROR,0,101.06
17987,8/1/2023 4:00,2023,8,1,4:00,8.7,7.9,94,0,ERROR,0,101.12
18047,8/1/2023 5:00,2023,8,1,5:00,10,9.6,97,0,25,3,101.17
18107,8/1/2023 6:00,2023,8,1,6:00,12.8,11.8,93,0,0,1,101.21
18167,8/1/2023 7:00,2023,8,1,7:00,14.4,11.2,81,0,29,6,101.27
18227,8/1/2023 8:00,2023,8,1,8:00,16,10.5,70,0,28,8,101.29
18287,8/1/2023 9:00,2023,8,1,9:00,17.3,9.6,61,0,30,6,101.3
18347,8/1/2023 10:00,2023,8,1,10:00,18.2,9.3,56,0,32,9,101.31
18407,8/1/2023 11:00,2023,8,1,11:00,18.8,10.9,60,0,33,7,101.3
18467,8/1/2023 12:00,2023,8,1,12:00,19.3,9.2,52,0,30,8,101.28
18527,8/1/2023 13:00,2023,8,1,13:00,18.9,10.2,57,0,29,12,101.26
