247247,2024-01-07 08:00:00 EST,99.39,100.84,5,15,88,-9.9,-8.3,-15,1200,ERROR,3,-8.3,-8.4,1.51E-16
247307,2024-01-07 09:00:00 EST,99.37,100.82,5,17,87,-9.7,-7.9,-15,1200,ERROR,129,-7.9,-8.3,1.93E-01
247367,2024-01-07 10:00:00 EST,99.38,100.83,5,15,86,-9.6,-7.6,-14,1600,5,286,-7.6,-8.1,
247427,2024-01-07 11:00:00 EST,99.34,100.79,6,13,85,-9.3,-7.2,-13,1600,5,517,-7.2,-7.8,
247487,2024-01-07 12:00:00 EST,99.31,100.76,3,15,82,-9.2,-6.7,-13,3200,6,862,-6.5,-7.3,
247547,2024-01-07 13:00:00 EST,99.27,100.71,4,17,82,-9,-6.4,-13,4800,8,600,-6.3,-7.1,
247607,2024-01-07 14:00:00 EST,99.31,100.75,2,16,81,-8.7,-5.9,-12,3200,8,580,-5.9,-6.6,
247667,2024-01-07 15:00:00 EST,99.38,100.82,0,14,81,-8.5,-5.8,-11,24100,8,339,-5.8,-6.1,
247727,2024-01-07 16:00:00 EST,99.47,100.91,4,7,82,-8.2,-5.7,-9,24100,8,177,-5.6,-5.9,
247787,2024-01-07 17:00:00 EST,99.56,101,31,8,84,-7.9,-5.6,-9,24100,8,28,-5.5,-5.8,
247847,2024-01-07 18:00:00 EST,99.66,101.11,30,13,82,-7.9,-5.2,-10,24100,8,0,-5.1,-5.6,
247907,2024-01-07 19:00:00 EST,99.8,101.25,30,14,78,-8.6,-5.4,-11,24100,8,0,-5.3,-5.4,
