260087,2024-01-16 06:00:00 EST,100.22,101.69,15,10,73,-14.7,-10.8,-16,24100,8,0,-10.7,-11.5,2.79E-15
260147,2024-01-16 07:00:00 EST,100.2,101.67,15,11,75,-14.4,-10.8,-17,24100,8,0,-10.7,-10.9,3.30E-02
260207,2024-01-16 08:00:00 EST,100.14,101.61,14,10,82,-13,-10.6,-16,9700,8,5,-10.6,-10.8,
260267,2024-01-16 09:00:00 EST,100.09,101.56,11,8,85,-12.4,-10.3,-15,6400,8,83,-10.3,-10.6,
260327,2024-01-16 10:00:00 EST,100.02,101.48,10,10,86,-11.4,-9.4,-15,4800,8,244,-9.4,-10.3,
260387,2024-01-16 11:00:00 EST,99.93,101.39,11,12,85,-11.1,-8.9,-15,1600,2,404,-8.9,-10.2,
260447,2024-01-16 12:00:00 EST,99.83,101.29,9,8,86,-10.8,-8.8,-13,1600,3,534,-8.8,-9.3,
260507,2024-01-16 13:00:00 EST,99.74,101.2,3,5,86,-10.3,-8.3,-11,3200,6,581,-8.3,-8.9,
260567,2024-01-16 14:00:00 EST,99.66,101.11,6,5,84,-10.3,-8.1,-11,4800,8,562,-7.9,-8.3,
260627,2024-01-16 15:00:00 EST,99.63,101.08,36,3,85,-10.3,-8.2,-10,9700,8,520,-7.8,-8.3,
260687,2024-01-16 16:00:00 EST,99.63,101.08,31,6,87,-10.2,-8.3,-12,12900,8,301,-8.1,-8.3,
260747,2024-01-16 17:00:00 EST,99.58,101.04,22,3,93,-10.1,-9.2,-11,16100,8,40,-8.3,-10.2,
