264047,2024-01-19 00:00:00 EST,100.29,101.75,34,14,82,-11.9,-9.5,-16,24100,8,0,-9.5,-12.4,1.06E-15
264107,2024-01-19 01:00:00 EST,100.31,101.77,1,22,75,-14.4,-10.7,-19,24100,7,0,-9.3,-10.7,5.92E-02
264167,2024-01-19 02:00:00 EST,100.33,101.8,1,23,69,-16.6,-12.1,-21,24100,8,0,-10.7,-12.2,
264227,2024-01-19 03:00:00 EST,100.37,101.84,2,21,68,-18,-13.2,-22,24100,7,0,-12.1,-13.2,
264287,2024-01-19 04:00:00 EST,100.37,101.84,34,13,72,-18.1,-14,-21,24100,7,0,-13.3,-14,
264347,2024-01-19 05:00:00 EST,100.36,101.83,36,16,67,-19.5,-14.6,-23,24100,7,0,-14,-14.6,
264407,2024-01-19 06:00:00 EST,100.38,101.86,36,18,68,-20.3,-15.7,-25,24100,6,0,-14.6,-15.7,
264467,2024-01-19 07:00:00 EST,100.42,101.9,36,16,68,-21.1,-16.6,-25,24100,4,0,-15.7,-16.7,
264527,2024-01-19 08:00:00 EST,100.44,101.92,35,14,69,-21.7,-17.4,-26,24100,4,13,-16.5,-17.4,
264587,2024-01-19 09:00:00 EST,100.42,101.9,35,18,66,-22.2,-17.2,-26,24100,1,337,-17.1,-17.4,
264647,2024-01-19 10:00:00 EST,100.37,101.85,36,13,61,-22.7,-16.9,-25,24100,1,861,-16.9,-17.2,
264707,2024-01-19 11:00:00 EST,100.31,101.79,1,11,56,-23.1,-16.2,-23,24100,3,1261,-16,-16.9,
