,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
59087,2023-08-29 17:00:00 EDT,99.58,100.95,19,9,54,16.3,26.2,ERROR,24100,5,1836,26.2,24.4,2.63E-15,3.42E-02,6.02E-16
59147,2023-08-29 18:00:00 EDT,99.55,100.92,15,10,58,16.2,25,ERROR,24100,5,1114,26.5,25,1.33E-15,5.77E-02,9.41E-02
59207,2023-08-29 19:00:00 EDT,99.5,100.87,14,6,72,17.5,22.8,ERROR,24100,5,314,25,22.7,7.85E-16,6.96E-02,
59267,2023-08-29 20:00:00 EDT,99.47,100.84,13,8,82,16.8,20,ERROR,24100,5,49,22.7,19.6,1.06E-15,5.78E-02,
59327,2023-08-29 21:00:00 EDT,99.48,100.85,15,8,80,17.3,20.9,ERROR,24100,4,0,21.8,20.1,2.25E-15,4.16E-02,
59387,2023-08-29 22:00:00 EDT,99.47,100.83,17,8,86,17.8,20.1,ERROR,24100,7,0,21,19.6,7.18E-16,7.45E-02,
59447,2023-08-29 23:00:00 EDT,99.44,100.8,16,8,92,17.6,18.9,ERROR,24100,7,0,20,18.5,1.29E-15,5.11E-02,
59507,2023-08-30 00:00:00 EDT,99.43,100.79,17,8,95,17.6,18.4,ERROR,24100,7,0,19.1,17.7,1.20E-15,5.57E-02,
59567,2023-08-30 01:00:00 EDT,99.36,100.72,13,5,94,17.5,18.5,ERROR,24100,7,0,18.8,18,5.63E-16,8.53E-02,
59627,2023-08-30 02:00:00 EDT,99.29,100.65,32,5,93,17.9,19,ERROR,24100,8,0,19.1,17.6,7.35E-16,7.82E-02,
59687,2023-08-30 03:00:00 EDT,99.26,100.62,26,11,96,18.1,18.8,ERROR,12900,8,0,19.5,17.6,1.40E-15,6.82E-02,
59747,2023-08-30 04:00:00 EDT,99.11,100.47,2,8,98,17.6,17.9,ERROR,24100,8,0,19.5,17.8,2.66E-15,3.02E-02,
