162767,2023-11-09 16:00:00 EST,99.6,101.02,22,7,99,-0.4,-0.3,-3,800,ERROR,132,-0.3,-0.7,4.73E-16
162827,2023-11-09 17:00:00 EST,99.62,101.05,15,7,99,-0.2,-0.1,-3,1200,ERROR,15,-0.1,-0.3,1.01E-01
162887,2023-11-09 18:00:00 EST,99.66,101.08,17,6,99,0,0.2,ERROR,9700,8,0,0.2,-0.1,
162947,2023-11-09 19:00:00 EST,99.68,101.1,20,14,99,1,1.2,ERROR,16100,8,0,1.2,0,
163007,2023-11-09 20:00:00 EST,99.64,101.06,23,13,99,2.2,2.4,ERROR,16100,8,0,2.4,0.8,
163067,2023-11-09 21:00:00 EST,99.64,101.06,22,12,94,1.4,2.3,ERROR,24100,6,0,2.6,2.2,
163127,2023-11-09 22:00:00 EST,99.71,101.13,24,14,97,2.3,2.7,ERROR,16100,7,0,2.8,2.2,
163187,2023-11-09 23:00:00 EST,99.67,101.09,22,16,94,1.8,2.7,ERROR,24100,7,0,2.9,2.2,
163247,2023-11-10 00:00:00 EST,99.67,101.09,22,13,94,1.3,2.2,ERROR,24100,4,0,2.7,2.2,
163307,2023-11-10 01:00:00 EST,99.68,101.1,22,14,95,1.3,2,ERROR,24100,2,0,2.4,1.9,
163367,2023-11-10 02:00:00 EST,99.69,101.11,23,20,94,1.6,2.5,ERROR,24100,2,0,2.5,2,
163427,2023-11-10 03:00:00 EST,99.72,101.14,22,25,89,1.3,2.9,ERROR,24100,4,0,3,2.4,
