,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
82247,2023-09-14 19:00:00 EDT,100.67,102.07,33,6,61,8.3,15.6,ERROR,24100,7,102,15.8,15.5,7.77E-16,7.15E-02,2023-09-15 12:00:00 EDT
82307,2023-09-14 20:00:00 EDT,100.71,102.11,16,6,87,9.9,12,ERROR,24100,5,4,15.7,12,1.50E-15,5.37E-02,1.51E-14
82367,2023-09-14 21:00:00 EDT,100.76,102.16,19,7,99,10.2,10.3,ERROR,24100,2,0,12.2,9.8,3.51E-15,2.82E-02,1.14E-02
82427,2023-09-14 22:00:00 EDT,100.79,102.19,18,8,85,9.2,11.7,ERROR,24100,1,0,12.1,8.8,2.64E-15,3.55E-02,
82487,2023-09-14 23:00:00 EDT,100.81,102.21,19,5,93,9,10,ERROR,24100,0,0,11.6,8.8,1.57E-15,4.69E-02,
82547,2023-09-15 00:00:00 EDT,100.85,102.26,19,9,98,9.7,10,ERROR,24100,0,0,10.2,8.1,1.25E-15,5.23E-02,
82607,2023-09-15 01:00:00 EDT,100.85,102.26,21,7,100,7.8,7.8,ERROR,24100,0,0,9.8,7.6,1.64E-15,4.57E-02,
82667,2023-09-15 02:00:00 EDT,100.85,102.26,26,5,100,8.1,8.2,ERROR,24100,0,0,8.8,7.5,2.98E-15,3.23E-02,
82727,2023-09-15 03:00:00 EDT,100.87,102.27,26,8,100,8.6,8.6,ERROR,24100,0,0,9.6,8.2,7.56E-15,1.83E-02,
82787,2023-09-15 04:00:00 EDT,100.87,102.28,29,7,100,8,8,ERROR,24100,0,0,8.6,8,7.33E-15,1.98E-02,
82847,2023-09-15 05:00:00 EDT,100.91,102.32,27,6,100,7.5,7.5,ERROR,24100,1,0,8.3,7.4,3.39E-15,2.90E-02,
82907,2023-09-15 06:00:00 EDT,100.94,102.35,24,4,100,8.4,8.4,ERROR,2400,2,0,8.5,6,3.21E-15,2.92E-02,
