,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
15227,2023-07-30 06:00:00 EDT,100.02,101.41,25,8,97,9.3,9.7,ERROR,24100,2,4,9.9,9.1,1.17E-15,5.45E-02,1.10E-15,5.82E-02
15287,2023-07-30 07:00:00 EDT,100.04,101.42,27,11,97,11.6,12.1,ERROR,24100,1,236,12.1,9.7,3.71E-15,2.78E-02,,
15347,2023-07-30 08:00:00 EDT,100.08,101.46,28,14,86,12.2,14.4,ERROR,24100,1,786,14.4,12.2,6.38E-15,1.93E-02,,
15407,2023-07-30 09:00:00 EDT,100.09,101.47,28,12,75,12.5,16.9,ERROR,24100,1,1449,16.9,14.5,9.96E-15,1.48E-02,,
15467,2023-07-30 10:00:00 EDT,100.1,101.48,29,16,67,12.8,18.9,ERROR,24100,1,2061,18.9,16.8,1.29E-14,1.26E-02,,
15527,2023-07-30 11:00:00 EDT,100.08,101.46,27,17,59,12.3,20.4,ERROR,24100,1,2606,20.4,19,1.40E-14,1.20E-02,,
15587,2023-07-30 12:00:00 EDT,100.07,101.45,26,15,55,12.4,21.7,ERROR,24100,1,3009,21.9,20.1,1.41E-14,1.19E-02,,
15647,2023-07-30 13:00:00 EDT,100.01,101.39,26,16,54,13,22.7,ERROR,24100,3,3240,23,21.8,1.28E-14,1.27E-02,,
15707,2023-07-30 14:00:00 EDT,99.97,101.35,25,20,52,13.4,23.7,ERROR,24100,3,3265,23.9,22.1,1.16E-14,1.34E-02,,
15767,2023-07-30 15:00:00 EDT,99.91,101.29,29,20,45,11.8,24.2,ERROR,24100,2,3147,24.8,23.2,9.55E-15,1.51E-02,,
15827,2023-07-30 16:00:00 EDT,99.86,101.24,25,20,45,12.1,24.6,ERROR,24100,2,2768,25,23.9,7.28E-15,1.85E-02,,
15887,2023-07-30 17:00:00 EDT,99.83,101.21,22,24,47,12.1,23.9,ERROR,24100,2,2295,24.6,23.7,3.54E-15,3.27E-02,,
