,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,,,,,,CN2-R0 Future
93107,2023-09-22 08:00:00 EDT,101.6,103.02,5,7,100,8.9,8.9,ERROR,24100,1,246,9,6.6,7.07E-15,1.84E-02,2023-09-22 20:00:00 EDT,,,,,
93167,2023-09-22 09:00:00 EDT,101.64,103.05,36,3,92,10.8,12.1,ERROR,24100,0,850,12.2,8.9,1.10E-14,1.39E-02,2.26E-15,,,,,
93227,2023-09-22 10:00:00 EDT,101.66,103.07,9,6,78,11.7,15.4,ERROR,24100,0,1458,15.4,12.3,1.25E-14,1.29E-02,3.83E-02,,,,,
93287,2023-09-22 11:00:00 EDT,101.61,103.02,8,9,66,11.4,17.7,ERROR,24100,0,1986,17.8,15.4,1.34E-14,1.23E-02,,,,,,
93347,2023-09-22 12:00:00 EDT,101.57,102.98,14,12,58,11.2,19.6,ERROR,24100,0,2373,19.6,17.7,1.38E-14,1.21E-02,,,,,,
93407,2023-09-22 13:00:00 EDT,101.54,102.94,9,12,55,11.8,21.1,ERROR,24100,0,2568,21.1,19.4,1.26E-14,1.28E-02,,,,,,
93467,2023-09-22 14:00:00 EDT,101.48,102.89,16,10,48,10.4,21.8,ERROR,24100,0,2558,21.9,20.9,1.16E-14,1.34E-02,,,,,,
93527,2023-09-22 15:00:00 EDT,101.42,102.82,16,9,44,9.8,22.6,ERROR,24100,0,2331,22.8,21.6,9.31E-15,1.54E-02,,,,,,
93587,2023-09-22 16:00:00 EDT,101.33,102.73,33,10,46,10.6,22.6,ERROR,24100,0,1920,22.7,21.9,5.43E-15,2.19E-02,,,,,,
93647,2023-09-22 17:00:00 EDT,101.31,102.71,15,7,47,10.4,22.2,ERROR,24100,0,1363,22.7,22.1,1.37E-15,5.30E-02,,,,,,
93707,2023-09-22 18:00:00 EDT,101.3,102.71,11,7,57,12,20.9,ERROR,24100,1,717,22.4,20.9,2.11E-15,3.82E-02,,,,,,
93767,2023-09-22 19:00:00 EDT,101.3,102.71,11,7,72,11.3,16.2,ERROR,24100,1,150,20.9,16.1,4.50E-15,2.41E-02,,,,,,
