,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,,,,,,CN2-R0 Future
263567,2024-01-18 16:00:00 EST,100.12,101.58,25,5,66,-12.9,-7.6,-10,24100,7,297,-7.5,-7.8,9.31E-16,8.39E-02,2024-01-19 04:00:00 EST,,,,,
263627,2024-01-18 17:00:00 EST,100.14,101.6,36,3,67,-13.1,-7.9,-9,24100,7,57,-7.6,-7.9,1.05E-15,5.88E-02,3.71E-15,,,,,
263687,2024-01-18 18:00:00 EST,100.17,101.64,20,3,79,-14.3,-11.3,-13,24100,6,0,-7.9,-11.3,1.63E-15,4.42E-02,4.54E-02,,,,,
263747,2024-01-18 19:00:00 EST,100.19,101.66,21,4,79,-13.6,-10.7,-13,24100,7,0,-9.6,-12.1,7.16E-16,8.35E-02,,,,,,
263807,2024-01-18 20:00:00 EST,100.21,101.68,31,6,73,-12.9,-8.9,-12,24100,7,0,-8.8,-12,9.17E-16,6.29E-02,,,,,,
263867,2024-01-18 21:00:00 EST,100.2,101.67,33,8,79,-13.5,-10.6,-15,24100,7,0,-8.9,-11.7,6.91E-16,7.73E-02,,,,,,
263927,2024-01-18 22:00:00 EST,100.22,101.69,26,6,85,-14.7,-12.6,-17,9700,7,0,-9.7,-12.8,5.26E-16,1.02E-01,,,,,,
263987,2024-01-18 23:00:00 EST,100.24,101.71,28,7,87,-13.4,-11.7,-16,24100,8,0,-11.4,-12.6,2.72E-16,1.33E-01,,,,,,
264047,2024-01-19 00:00:00 EST,100.29,101.75,34,14,82,-11.9,-9.5,-16,24100,8,0,-9.5,-12.4,3.40E-16,1.15E-01,,,,,,
264107,2024-01-19 01:00:00 EST,100.31,101.77,1,22,75,-14.4,-10.7,-19,24100,7,0,-9.3,-10.7,5.51E-16,8.66E-02,,,,,,
264167,2024-01-19 02:00:00 EST,100.33,101.8,1,23,69,-16.6,-12.1,-21,24100,8,0,-10.7,-12.2,1.18E-15,6.50E-02,,,,,,
264227,2024-01-19 03:00:00 EST,100.37,101.84,2,21,68,-18,-13.2,-22,24100,7,0,-12.1,-13.2,1.39E-15,5.53E-02,,,,,,
