,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,,,,,,CN2-R0 Future
149447,2023-10-31 11:00:00 EDT,100.76,102.2,35,3,54,-7.5,0.8,ERROR,24100,2,1481,1.1,-0.4,1.33E-14,1.24E-02,2023-10-31 23:00:00 EDT,,,,,
149507,2023-10-31 12:00:00 EDT,100.77,102.21,34,8,35,-12.1,1.9,ERROR,24100,3,1833,2,1,1.17E-14,1.35E-02,2.74E-16,,,,,
149567,2023-10-31 13:00:00 EDT,100.69,102.13,24,8,35,-11.9,1.9,ERROR,24100,7,1712,2.5,1.5,9.17E-15,1.55E-02,1.39E-01,,,,,
149627,2023-10-31 14:00:00 EDT,100.6,102.04,5,4,34,-12.3,2.1,ERROR,24100,7,1094,2.6,1.7,7.59E-15,1.74E-02,,,,,,
149687,2023-10-31 15:00:00 EDT,100.54,101.97,5,6,32,-11.6,3.6,ERROR,24100,7,1022,3.6,2.1,5.97E-15,2.02E-02,,,,,,
149747,2023-10-31 16:00:00 EDT,100.51,101.94,16,4,33,-11.9,2.8,ERROR,24100,7,777,3.7,2.5,1.46E-15,5.95E-02,,,,,,
149807,2023-10-31 17:00:00 EDT,100.49,101.93,17,4,40,-10.5,1.8,ERROR,24100,6,463,3.4,1.2,3.33E-16,1.14E-01,,,,,,
149867,2023-10-31 18:00:00 EDT,100.46,101.9,10,5,45,-9.2,1.4,ERROR,24100,7,49,1.8,1.4,4.48E-16,9.77E-02,,,,,,
149927,2023-10-31 19:00:00 EDT,100.46,101.9,7,7,49,-8.7,0.8,ERROR,24100,8,0,1.5,0.6,9.42E-16,6.15E-02,,,,,,
149987,2023-10-31 20:00:00 EDT,100.45,101.89,5,9,51,-8.4,0.7,ERROR,24100,8,0,1,0.5,7.07E-16,7.29E-02,,,,,,
150047,2023-10-31 21:00:00 EDT,100.38,101.81,6,12,51,-8.4,0.6,ERROR,24100,8,0,0.8,0.4,4.49E-16,1.00E-01,,,,,,
150107,2023-10-31 22:00:00 EDT,100.38,101.81,4,11,54,-7.8,0.4,ERROR,24100,8,0,0.9,0.4,2.86E-16,1.30E-01,,,,,,
